Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $
SolarLight,Non-payment,No response to hold,1.9,40.0
nationaltoolg,,Have an account that is operable at ntgproducts,1.2,40.0
BonaventureCompany,Other - please specify,"Have not been using the account since January""""",62.4,40.0
confluenceenergy1,Sold Business / Closing Company,"Company dissolved, might come back later with a new company file.",59.5,40.0
vioskihost,,Need to create new account to overcome sync issues with this accoutn.,1.5,40.0
PALLETRACKSTOGO,Non-payment,No response to hold,1.9,40.0
adidisplays,Not using their Method Account,.,117.0,40.0
Tenacore,,Opened another acct.,4.6,40.0
rowapparel,Using another CRM Product,"I could write you a novel! But for the sake of keeping this short.....aside from all the bugs we constantly dealt with, we built an extensive ERP on your platform and shortly after completing it you released your updated version without any ease of making a transition. We would have had to completely re-build everything. You then also integrated with quickbooks online and did not allow for an easy/painless transition from your QB desktop integration.",111.8,40.0
Naturewell,,I haven't been able to use Method yet and it doesn't seem to make sense to keep paying for it if it's not being used.,4.0,40.0
GardenMark,,dont use,6.0,40.0
oreckvac,Non-payment,No response to hold,1.9,40.0
Call2Haul,Non-payment,No response to hold,6.9,40.0
BlueTagMediaInc,,No affordable at this time,6.0,40.0
LegalNurseUSA,,Many reasons..,2.9,40.0
ECOFastenCRM,,Client decided to wait until Jan 2014 to implement,1.5,40.0
Geary,,No need for it at this time.,8.0,40.0
HybridElectronics,,On a budget,1.6,40.0
NAMUS01,,it was test account,4.9,40.0
ame4ad,Other - please specify,Change in acct. ownership/Not using,48.1,40.0
BalancedGuruInc,,Not using the service.,5.8,40.0
vivocomm,Other - please specify,"Method is great. My ex-Operations Manager; Eric Gleaton, engaged my company with Sales Force and Method. As it turns out Sales Force was pre-paid for one year last fall.",9.1,40.0
jilapuhn01,Non-payment,No response to hold,3.9,40.0
NollandHerndonConsulting,,"The web to lead form never worked, making this product worthless to us.",3.0,40.0
ProMedPURE,,System is a bit too complicated for me. Not using.,20.6,40.0
matodi,Using another CRM Product,Purchased a ERP/CRM system to replace QuickBooks and Method,107.2,40.0
CMPWholesale,,"Our salesman used it for a while then stopped....If you had a smart phone app we would try it again.
Richard",8.1,40.0
windsocksupplies,Other - please specify,"Great product, I just did not use the product as anticipated.",47.1,40.0
xpress,,none,1.8,40.0
HomeProAV,,"Switching to Vtiger.  The interface is better, quicker, and costs about 1/3 of the Method price.",5.8,40.0
FixHT,,Too complicated.  Went in another direction.,1.9,40.0
ThePetPantry,,Do not have the time or money to customize to fit our companies needs.,3.4,40.0
primewine,,dupe,1.2,40.0
nokpmedia,,Not using it,4.0,40.0
CustomFloors,,not for us at the this time,2.3,40.0
VBSNY,,Not a good fit for my business at the moment,5.6,40.0
landscapingandmaintenance,Non-payment,No response to hold,1.9,40.0
advancedvisiontechnologies,Not using their Method Account,Sales person is no longer in the company. Janine (owner of the company) requested for account closure. ,53.2,40.0
leontinelinens,Non-payment,No response to hold,2.9,40.0
GreyRockClothingCo,,"We wanted to be able to access more of Quickbooks features through method. It just wasn't as smooth as we were hoping it would be. 

Beth",8.2,40.0
fishbat,,downsizing the company - no longer have a need for Method,16.5,40.0
IDTYCO,,Company Closed.,7.0,40.0
THINKOfficeSolutions,,too difficult to for people making alot of phone calls.  alot of work to keep records up to date. ... reports are hard to get and too expensive,6.3,40.0
MariaPucciCRM,,no,19.1,40.0
CoreProductsCanadaLtd,,we don't use it at the moment.,15.1,40.0
BudiBar,,We are now using Method for QBD,2.7,40.0
okonosales,"Failure to adopt, train, and engage CRM users",just no longer need the services and are going another direction.,107.0,40.0
rebnetik,,A bit more expensive than what I need right at this moment.,5.6,40.0
keychemicalinc,Not using their Method Account,Not using the platform.,158.4,40.0
SignatureWindowCoverings,,Don't need it.,1.4,40.0
CECFoundationTrust,Non-payment,No response to hold,8.9,40.0
htxdb,,I switched to salesforce,9.0,40.0
BioticsResearchNW,,we have too many system issues on our end at this time to use any CRM,8.1,40.0
DripDrop,Non-payment,No response to hold,27.9,40.0
hksurgical,"Tech Issue - QuickBooks, Network, Initial Setup",We were told that it would integrate with Quickbooks  and Method did not properly populate our customer accounts. It also added hundreds of erroneous accounts. Very dissappointed.,14.7,40.0
goodplanetfoods,Not using their Method Account,"No longer need a CRM. 
Spencer did not provide any additional information re: his cancellation",6.0,40.0
glebefarmshop,Other - please specify,No longer need a CRM,7.0,40.0
newshootsbamboo,"Tech Issue - QuickBooks, Network, Initial Setup",Unable to sync with Quick Books and no one could resolve the issue.,59.7,40.0
giftedtouch,Not using their Method Account,not using it,18.1,40.0
americansignandsignalcompany,"Failure to adopt, train, and engage CRM users","Nothing wrong, we just did not use it like we thought we would. Perhaps we will be back one day as we grow!",9.2,40.0
fulllinedigitalsupply,Not using their Method Account,I'm not using the app.,7.8,40.0
turnkeysecutitysolutions,Using another CRM Product,Using another software.,6.2,40.0
bpc,Duplicate Account,Reinstated for Data migration,14.1,40.0
funaticwholesale,,"I was using Method strictly to allow employees to access Quickbooks data, but I've found Method to be less efficient than expected for that, so I've upgraded to a cloud-based system and added another Quickbooks license.",5.0,40.0
austinandkat,Other - please specify,"We were only using Method to provide us with an API into our QB enterprise company file and we were not using any of the CRM functions within Method. We recently transitioned to Quickbooks Online so we are now using their web API and we no longer need Method.

Thank you.",9.5,40.0
GSW,Other - please specify,MT did not meet requirements!,1.1,40.0
aragosotexas,Not using their Method Account,closing Tenant,38.0,40.0
Synthetic,Sold Business / Closing Company,Customer is deciding to combine both business and continue in the parent account,11.1,40.0
americanbusinessbranding,Using another CRM Product,found a CRM that is specific to my industry,18.8,40.0
aragososouth,Not using their Method Account,Closing Tenant Account,38.9,40.0
spiriteddesigns,Not using their Method Account,I do not use it,6.4,40.0
mb2,No time / strategy to implement,It wasn't right for my personal use at the moment ,2.1,40.0
daphnelorna,No time / strategy to implement,Hasn't been easy enough for us to use without  spending alot of time ,2.5,40.0
handeholder,Feature Gap,Just didn't give us all information needed for our weekly sales meetings.,3.8,40.0
jpdandrea,Other - please specify,New QB file. Keeping Perfuel. ,28.3,40.0
fruitionmarketing2,Not using their Method Account,"We are not using it. Havent used it in over a year, their small business never really grew into needing it.",43.9,40.0
circuitassembly,Other - please specify,Doesn't sync properly with Right Networks.,5.3,40.0
periodicedibles,Other - please specify,sticking to using just QB.,3.8,40.0
solaronline,Other - please specify,This is duplicate,0.4,40.0
thermaltransfersystemsinc,Not using their Method Account,"this account i was told was cancelled a while ago, I don't use it and was charged $360 for nothing in 11/2024",29.2,40.0
bmccreativeventures,Other - please specify,bye,10.4,40.0
harmonylabandsafety,"Tech Issue - QuickBooks, Network, Initial Setup",More QB issues than you,17.2,40.0
corebiz,Not using their Method Account,DONT USE THE SERVICE,30.0,40.0
bisoncoolers,Not using their Method Account,We need to cancel our subscription.,48.0,40.0
coffeebeancorralCo1,Not using their Method Account,Do not use,23.2,40.0
fajascolombianaspormayor,Using another CRM Product,we are using other system.,30.1,40.0
pleasuresnow,Difficult Workflows / Workflow Challenges,Too complicated - didn't work for our purposes,4.5,40.0
sabalighting1,,"I have moved to Zoho for everything.   They have a complete CRM/accounting platform.  Your system was Klugy and I spent $1000's customizing it to be a better CRM system.   Your system is not a true CRM system.
",6.0,40.0
datamemorymarketing2019,Other - please specify,No longer utilizing this sub-tenant ,12.2,40.0
riversideroofingmaterials,Not using their Method Account,I needed a low cost ach payment option,11.2,40.0
jvigascorkinc1,Other - please specify,Non-Payment,14.0,40.0
grandhold,Not using their Method Account,not using,32.0,40.0
concreteproductsdistributionllc,Using another CRM Product,"We wound up using our distributors crm., so we no longer has a need for it. Thanks for all your help.",7.1,40.0
eickemeyercanada,Feature Gap,Does not have enough features,29.9,40.0
exchangebase,Sold Business / Closing Company,The company went out of business and we have not used Method in over 1 year.,23.6,40.0
syracuseautomotiveptyltdtahausenabrasives,Using QuickBooks Only (no other app),Quickbooks on its own working enough for our needs,19.3,40.0
P3GlobalServices,"Failure to adopt, train, and engage CRM users",lack of business growth and non-usage.,21.5,40.0
gaiaflooring,Not using their Method Account,no longer using,9.0,40.0
smartchoicemedicalusallc,Sold Business / Closing Company,"The platform served its purpose for the business. However, we have decided to close our business in pursuit of other opportunities.",44.4,40.0
linkasink2,Other - please specify,Switched to a different solution.,1.0,40.0
dyacon,Sold Business / Closing Company,Sold my business.,48.0,40.0
squidgetcompanyinc1,Other - please specify,"Didn't get the results I was expecting, plus managing the email campaigns was to difficult because of constant glitches in  your system.",8.7,40.0
exerciseexpressusa,,Calendar sync and cost,3.5,40.0
artisaire,Not using their Method Account,no longer needed,36.8,40.0
NODUK,Difficult Workflows / Workflow Challenges,"As we are discovering the functionality of method is not exactly what we were seeking. Due to this we are needing to cancel certain companies from method for the time, while we focus on only one company.Therefore, the nodglobal and the nod uk method accounts can be closed. We will focus on NOD USA before bringing on the other regions,",2.1,40.0
